Species,Lat,Long,Site,Tree_Label
Strychnos spinosa,-24.56227298,31.10940697,WRF,SS2
Strychnos spinosa,-24.56047297,31.10983503,WRF,SS3
Terminalia sericea,-24.55845997,31.09942001,WRF,T1
Terminalia sericea,-24.54978998,31.09859498,WRF,T2
Terminalia sericea,-24.54978101,31.09860999,WRF,T3
Turrea nilotica,-24.56386101,31.11018003,WRF,CH1
Combretum imberbe,-24.56386697,31.11015899,WRF,CI2
Turrea nilotica,-24.56384702,31.110147,WRF,CI 3
Zizyphus mucronata,-24.56047498,31.10985003,WRF,X1
need to find ,-24.56242201,31.10931602,WRF,
Zizyphus mucronata,-24.55847296,31.10374197,WRF,X3
,-25.19926667,31.29561667,Pre1,
,-25.1996,31.29533333,Pre10,
,-25.19938333,31.29533333,Pre2,
,-25.19951667,31.29536667,Pre3,
,-25.19953333,31.29533333,Pre4,
,-25.19948333,31.29528333,Pre5,
,-25.19955,31.29528333,Pre6,
,-25.19951667,31.2952,Pre7,
,-25.19953333,31.29518333,Pre8,
,-25.19951667,31.29518333,Pre9,
,-25.01711667,31.49285,Sku1,
,-25.01751667,31.49455,Sku2,
,-25.0176,31.49633333,Sku3,
,-25.01736667,31.49623333,Sku4,
,-25.01811667,31.49915,Sku5,
,-25.01865,31.49618333,Sku6,
,-25.01885,31.49483333,Sku7,
,-25.0187,31.4939,Sku8,
,-22.38893333,31.1481,Site1,
,-24.581,31.51238333,Site11,
,-25.18486667,31.2541,Site12,
,-25.44356667,31.44896667,Site13,
,-24.62668333,31.79528333,Site14,
,-22.63725,31.1634,Site3,
,-22.79865,31.18058333,Site4,
,-22.79865,31.24198333,Site5,
,-22.92403333,31.23343333,Site6,
,-23.23571667,31.36576667,Site7,
,-23.63893333,31.42131667,Site8,
,-23.4699,31.50003333,Site9,
,31.46593333,-25.45255,BER,C29
,31.4661,-25.45248333,BER,C32
,31.46613333,-25.45223333,BER,C36
,31.46571667,-25.45263333,BER,T19
,31.466,-25.45261667,BER,T21
,31.46608333,-25.45223333,BER,T25
,31.50973333,-23.86175,LET,C11
,31.50961667,-23.86155,LET,C13
,31.5092,-23.8616,LET,C18
,31.50951667,-23.86176667,LET,M10
,31.50966667,-23.86178333,LET,M11
,31.50958333,-23.86151667,LET,M13
,31.35776667,-23.46951667,MOO,C76
,31.35771667,-23.46958333,MOO,C77
,31.3574,-23.46935,MOO,C79
,31.35793333,-23.4692,MOO,M39
,31.35795,-23.4693,MOO,M40
,31.35763333,-23.46926667,MOO,M43
,31.35815,-23.46916667,MOO,T55
,31.35816667,-23.46915,MOO,T57
,31.35806667,-23.4692,MOO,T58
,31.6669,-24.48508333,MUZ,C23
,31.66698333,-24.48511667,MUZ,C24
,31.66678333,-24.48508333,MUZ,C25
,31.66723333,-24.48515,MUZ,T10
,31.66726667,-24.48508333,MUZ,T11
,31.66726667,-24.48486667,MUZ,T13
,31.21028333,-23.92905,PHA,C01
,31.20961667,-23.92965,PHA,C05
,31.20946667,-23.92961667,PHA,C06
,31.21023333,-23.92895,PHA,M01
,31.20963333,-23.92971667,PHA,M05
,31.2095,-23.92953333,PHA,M06
,31.21025,-23.92906667,PHA,T01
,31.2099,-23.92938333,PHA,T02
,31.20948333,-23.92973333,PHA,T06
,31.2924,-25.197,PRE,C37
,31.29238333,-25.19705,PRE,C39
,31.292,-25.19668333,PRE,C42
,31.2922,-25.19656667,PRE,T28
,31.29211667,-25.19718333,PRE,T31
,31.29238333,-25.19693333,PRE,T36
,,,SHI,T64
,,,SHI,T65
,,,SHI,T66
,,,SHI,M47
,,,SHI,M50
,,,SHI,M54
,,,SHI,C83
,,,SHI,C86
,,,SHI,C88
,31.23595,-22.91873333,SIR,C67
,31.23573333,-22.91803333,SIR,C69
,31.23586667,-22.91785,SIR,C70
,31.23593333,-22.9184,SIR,M29
,31.23576667,-22.918,SIR,M33
,31.23585,-22.9179,SIR,M36
,31.48743333,-25.02151667,SKU,C46
,31.48753333,-25.02086667,SKU,C50
,31.48805,-25.02138333,SKU,C51
,31.48748333,-25.02161667,SKU,T40
,31.48745,-25.0216,SKU,T41
,31.48793333,-25.0214,SKU,T45
,31.2128,-23.23606667,WOO,C55
,31.21336667,-23.23588333,WOO,C57
,31.21341667,-23.23588333,WOO,C58
,31.21351667,-23.23588333,WOO,M21
,31.21321667,-23.23636667,WOO,M24
,31.21285,-23.23671667,WOO,M26
,31.21303333,-23.236,WOO,T46
,31.21318333,-23.2362,WOO,T48
,31.21308333,-23.23631667,WOO,T50
