Sample,Year,RingWidth_um
C46,2004,240
C46,2003,79
C46,2002,196
C50,2013,307
C50,2012,235
C50,2011,129
C50,2010,365
C50,2009,215
C50,2008,241
C50,2007,503
C50,2006,779
C50,2005,191
C50,2004,210
C50,2003,316
C50,2002,341
C50,2001,142
C50,2000,481
C50,1999,172
C51,2013,240
C51,2012,290
C51,2011,210
C51,2010,365
C51,2009,322
C51,2008,209
C51,2007,148
C51,2006,159
C51,2005,81
C55,2013,623
C55,2012,665
C55,2011,302
C55,2010,260
C55,2009,265
C55,2008,487
C55,2007,331
C55,2006,270
C55,2005,110
C55,2004,147
C57,2013,147
C57,2012,194
C57,2011,383
C57,2010,328
C57,2009,294
C57,2008,578
C57,2007,177
C57,2006,201
C57,2005,195
C57,2004,92
C57,2003,95
C57,2002,73
C57,2001,251
C58,2013,207
C58,2012,135
C58,2011,407
C58,2010,296
C58,2009,344
C58,2008,163
C58,2007,173
C58,2006,268
C58,2005,225
C58,2004,338
C58,2003,161
C58,2002,200
C67,2013,228
C67,2012,135
C67,2011,381
C67,2010,304
C67,2009,262
C67,2008,138
C67,2007,88
C67,2006,67
C67,2005,152
C67,2004,160
C69,2013,244
C69,2012,239
C69,2011,151
C69,2010,301
C69,2009,732
C69,2008,124
C69,2007,180
C69,2006,138
C69,2005,126
C70,2013,144
C70,2012,195
C70,2011,286
C70,2010,357
C70,2009,277
C70,2008,181
C70,2007,244
C70,2006,141
C70,2005,128
C70,2004,260
C70,2003,219
C70,2002,129
C70,2001,109
C70,2000,130
C70,1999,241
C70,1998,142
C70,1997,118
C76,2013,422
C76,2012,149
C76,2011,159
C76,2010,120
C76,2009,275
C76,2008,428
C76,2007,145
C76,2006,427
C76,2005,228
C76,2004,60
C76,2003,289
C77,2013,315
C77,2012,183
C77,2011,365
C77,2010,223
C77,2009,118
C77,2008,151
C77,2007,356
C77,2006,89
C77,2005,235
C77,2004,308
C79,2013,154
C79,2012,361
C79,2011,358
C79,2010,540
C79,2009,332
C79,2008,679
C79,2007,606
C86,2013,127
C86,2012,173
C86,2011,152
C86,2010,196
C86,2009,445
C86,2008,117
C86,2007,137
C86,2006,173
C86,2005,105
C86,2004,115
C86,2003,120
C86,2002,204
C86,2001,191
C86,2000,180
C88,2013,233
C88,2012,287
C88,2011,248
C88,2010,329
C88,2009,161
C88,2008,171
C88,2007,375
C88,2006,162
C88,2005,90
C88,2004,205
C88,2003,127
C88,2002,196
M01,2013,88
M01,2012,245
M01,2011,73
M01,2010,130
M01,2009,338
M01,2008,92
M01,2007,67
M01,2006,267
M01,2005,226
M01,2004,193
M01,2003,262
M01,2002,215
M01,2001,262
M05,2013,145
M05,2012,132
M05,2011,193
M05,2010,181
M05,2009,198
M05,2008,228
M05,2007,132
M05,2006,351
M05,2005,125
M05,2004,262
M05,2003,212
M05,2002,90
M05,2001,47
M05,2000,453
M05,1999,227
M05,1998,177
M05,1997,119
M05,1996,381
M06,2013,302
M06,2012,259
M06,2011,354
M06,2010,235
M06,2009,144
M06,2008,421
M06,2007,475
M06,2006,596
M06,2005,376
M06,2004,183
M06,2003,248
M10,2013,196
M10,2012,156
M10,2011,258
M10,2010,246
M10,2009,596
M10,2008,667
M10,2007,110
M10,2006,340
M10,2005,304
M10,2004,61
M10,2003,112
M10,2002,142
M10,2001,428
M10,2000,192
M10,1999,193
M10,1998,187
M10,1997,111
M10,1996,66
M10,1995,88
M10,1994,128
M11,2013,222
M11,2012,224
M11,2011,144
M11,2010,196
M11,2009,672
M11,2008,83
M11,2007,140
M11,2006,57
M11,2005,68
M11,2004,90
M11,2003,73
M11,2002,85
M13,2013,151
M13,2012,230
M13,2011,119
M13,2010,161
M13,2009,110
M13,2008,116
M13,2007,119
M13,2006,118
M13,2005,229
M13,2004,156
M13,2003,151
M21,2013,234
M21,2012,188
M21,2011,197
M21,2010,121
M21,2009,188
M21,2008,74
M21,2007,71
M21,2006,141
M21,2005,205
M21,2004,309
M21,2003,223
M21,2002,197
M21,2001,88
M21,2000,82
M21,1999,34
M21,1998,436
M24,2013,45
M24,2012,136
M24,2011,195
M24,2010,177
M24,2009,271
M24,2008,207
M24,2007,168
M24,2006,130
M24,2005,176
M24,2004,110
M24,2003,83
M24,2002,112
M29,2013,147
M29,2012,173
M29,2011,209
M29,2010,107
M29,2009,113
M29,2008,143
M29,2007,169
M29,2006,80
M29,2005,189
M29,2004,159
M29,2003,97
M33,2013,220
M33,2012,387
M33,2011,348
M33,2010,512
M33,2009,669
M33,2008,166
M33,2007,362
M33,2006,728
M39,2013,219
M39,2012,414
M39,2011,228
M39,2010,211
M39,2009,197
M39,2008,155
M39,2007,128
M39,2006,159
M39,2005,59
M39,2004,66
M39,2003,112
M39,2002,87
M39,2001,114
M40,2013,261
M40,2012,332
M40,2011,318
M40,2010,427
M40,2009,190
M40,2008,182
M40,2007,179
M40,2006,95
M40,2005,117
M40,2004,123
M40,2003,93
M40,2002,109
M40,2001,51
M40,2000,229
M43,2013,184
M43,2012,188
M43,2011,165
M43,2010,98
M43,2009,116
M43,2008,316
M43,2007,263
M43,2006,131
M43,2005,31
M43,2004,170
M43,2003,136
M43,2002,102
M43,2001,51
M43,2000,81
M43,1999,107
M47,2013,155
M47,2012,164
M47,2011,137
M47,2010,90
M47,2009,89
M47,2008,95
M47,2007,186
M47,2006,119
M47,2005,252
M47,2004,136
M47,2003,175
M47,2002,99
M47,2001,89
M47,2000,72
M47,1999,80
M50,2013,107
M50,2012,92
M50,2011,133
M50,2010,320
M50,2009,128
M50,2008,187
M50,2007,118
M50,2006,191
M50,2005,103
M50,2004,153
M50,2003,63
M50,2002,264
M54,2013,100
M54,2012,100
M54,2011,145
M54,2010,568
M54,2009,134
M54,2008,93
M54,2007,138
M54,2006,75
M54,2005,159
T02,2013,182
T02,2012,181
T02,2011,311
T02,2010,110
T02,2009,98
T02,2008,776
T02,2007,194
T02,2006,234
T02,2005,222
T02,2004,723
T02,2003,426
T06,2013,148
T06,2012,212
T06,2011,391
T06,2010,186
T06,2009,784
T06,2008,319
T06,2007,290
T06,2006,247
T06,2005,100
T06,2004,402
T06,2003,268
T06,2002,148
T06,2001,94
T06,2000,100
T06,1999,192
T10,2013,200
T10,2012,503
T10,2011,495
T10,2010,205
T10,2009,171
T10,2008,205
T10,2007,224
T10,2006,339
T10,2005,196
T10,2004,284
T10,2003,362
T10,2002,329
T10,2001,291
T11,2013,107
T11,2012,71
T11,2011,85
T11,2010,154
T11,2009,330
T11,2008,644
T11,2007,549
T11,2006,657
T11,2005,325
T11,2004,79
T11,2003,95
T11,2002,413
T13,2013,275
T13,2012,316
T13,2011,317
T13,2010,251
T13,2009,475
T13,2008,402
T13,2007,305
T13,2006,199
T13,2005,247
T13,2004,191
T13,2003,117
T15,2013,373
T15,2012,318
T15,2011,223
T15,2010,244
T15,2009,175
T15,2008,565
T15,2007,558
T15,2006,341
T15,2005,380
T15,2004,189
T15,2003,179
T15,2002,197
T19,2013,349
T19,2012,200
T19,2011,291
T19,2010,309
T19,2009,269
T19,2008,182
T19,2007,21
T19,2006,310
T19,2005,289
T19,2004,215
T19,2003,106
T19,2002,78
T19,2001,152
T19,2000,106
T21,2013,87
T21,2012,176
T21,2011,208
T21,2010,477
T21,2009,256
T21,2008,405
T21,2007,179
T21,2006,258
T21,2005,377
T21,2004,154
T21,2003,67
T25,2013,274
T25,2012,363
T25,2011,598
T25,2010,992
T25,2009,192
T25,2008,818
T25,2007,134
T25,2006,254
T25,2005,230
T25,2004,264
T28,2013,191
T28,2012,347
T28,2011,559
T28,2010,508
T28,2009,373
T28,2008,584
T28,2007,452
T28,2006,160
T28,2005,268
T28,2004,138
T28,2003,101
T28,2002,60
T31,2013,376
T31,2012,432
T31,2011,745
T31,2010,692
T31,2009,312
T31,2008,176
T31,2007,820
T31,2006,188
T31,2005,202
T31,2004,262
T31,2003,276
T36,2013,287
T36,2012,436
T36,2011,155
T36,2010,516
T36,2009,509
T36,2008,312
T36,2007,104
T36,2006,120
T40,2013,968
T40,2012,846
T40,2011,222
T40,2010,877
T40,2009,230
T40,2008,233
T40,2007,668
T40,2006,208
T40,2005,297
T40,2004,131
T41,2013,247
T41,2012,293
T41,2011,439
T41,2010,392
T41,2009,172
T41,2008,265
T41,2007,248
T45,2013,583
T45,2012,380
T45,2011,472
T45,2010,392
T45,2009,68
T45,2008,185
T45,2007,107
T45,2006,189
T46,2013,362
T46,2012,327
T46,2011,750
T46,2010,320
T46,2009,427
T46,2008,274
T46,2007,474
T46,2006,485
T48,2013,132
T48,2012,556
T48,2011,819
T48,2010,136
T48,2009,128
T48,2008,399
T48,2007,442
T48,2006,283
T48,2005,260
T50,2013,330
T50,2012,335
T50,2011,518
T50,2010,392
T50,2009,107
T50,2008,129
T50,2007,135
T50,2006,124
T55,2013,351
T55,2012,252
T55,2011,337
T55,2010,172
T55,2009,117
T55,2008,248
T55,2007,168
T55,2006,575
T55,2005,57
T55,2004,262
T57,2013,472
T57,2012,205
T57,2011,397
T57,2010,582
T57,2009,416
T57,2008,173
T57,2007,151
T57,2006,299
T57,2005,156
T57,2004,196
T58,2013,161
T58,2012,161
T58,2011,104
T58,2010,271
T58,2009,266
T58,2008,138
T58,2007,346
T58,2006,216
T58,2005,301
T58,2004,142
T58,2003,127
T58,2002,467
T58,2001,261
T64,2013,269
T64,2012,208
T64,2011,198
T64,2010,332
T64,2009,196
T64,2008,112
T64,2007,237
T64,2006,113
T64,2005,280
T64,2004,112
T64,2003,118
T69,2013,238
T69,2012,278
T69,2011,237
T69,2010,155
T69,2009,109
T69,2008,207
T69,2007,233
T69,2006,234
T69,2005,428
T69,2004,217
T69,2003,174
T69,2002,162
