Sample,Year,RingWidth_um
CM2,2012,223
CM2,2006,411
CM2,2011,212
CM2,2013,213
CM2,2007,100
CM2,2004,70
CM2,2010,276
CM2,2005,302
CM3,2012,124
CM3,2011,362
CM3,2010,254
CM3,2004,116
CM3,2013,95
CM3,2009,177
CM3,2005,327
CM3,2008,183
CM3,2006,319
CM3,2007,163
CZ1,2007,99
CZ1,2013,121
CZ1,2012,252
CZ1,2011,248
CZ1,2008,163
CZ1,2009,297
CZ1,2010,549
CZ2,2011,240
CZ2,2012,292
CZ2,2009,257
CZ2,2008,149
CZ2,2010,274
CZ2,2004,286
CZ2,2003,116
CZ2,2013,169
CZ2,2006,126
CZ2,2005,298
CZ2,2007,128
D2,2013,255
D2,2010,466
D2,2011,490
D2,2009,191
D2,2008,195
D2,2012,277
D3,2012,257
D3,2010,385
D3,2013,205
D3,2011,209
D3,2008,291
D3,2007,331
D3,2009,390
DM2,2013,129
DM2,2012,129
DM2,2010,224
DM2,2009,89
DM2,2008,305
DM2,2011,159
DM2,2006,85
DM2,2007,366
DM3,2008,120
DM3,2007,64
DM3,2006,231
DM3,2013,172
DM3,2012,259
DM3,2011,220
DM3,2010,159
DM3,2009,150
EN1,2010,185
EN1,2012,266
EN1,2011,182
EN1,2006,141
EN1,2008,204
EN1,2009,203
EN1,2007,274
EN1,2013,267
EN1,2005,165
EN2,2010,364
EN2,2009,253
EN2,2013,77
EN2,2011,158
EN2,2012,172
EN2,2007,366
EN2,2008,252
EN3,2012,149
EN3,2006,210
EN3,2007,116
EN3,2008,276
EN3,2004,268
EN3,2013,72
EN3,2005,179
EN3,2009,351
EN3,2011,96
EN3,2010,264
PA3,2011,240
PA3,2010,209
PA3,2002,89
PA3,2000,85
PA3,2012,251
PA3,2007,143
PA3,2009,267
PA3,2008,225
PA3,2013,169
PA3,2004,158
PA3,2001,248
PA3,2003,279
PA3,2005,174
PA3,2006,301
PR1,2002,170
PR1,2000,208
PR1,2009,212
PR1,2001,234
PR1,2008,285
PR1,2013,147
PR1,2012,221
PR1,2003,194
PR1,2004,260
PR1,2007,186
PR1,2006,257
PR1,2011,153
PR1,2010,372
PR1,2005,224
PR2,2004,231
PR2,2007,119
PR2,2010,273
PR2,2012,276
PR2,2002,228
PR2,2006,180
PR2,2008,208
PR2,2003,224
PR2,2000,191
PR2,2001,97
PR2,2005,258
PR2,2013,296
PR2,2011,308
PR2,2009,236
PR3,2013,239
PR3,2012,188
PR3,2011,370
PR3,2006,368
PR3,2009,202
PR3,2007,200
PR3,2008,180
PR3,2010,208
SM2,2008,342
SM2,2012,495
SM2,2007,368
SM2,2006,545
SM2,2013,717
SM2,2005,356
SM2,2010,316
SM2,2009,238
SM2,2011,762
SM2,2004,411
SM3,2008,273
SM3,2011,415
SM3,2007,98
SM3,2006,182
SM3,2013,148
SM3,2012,226
SM3,2010,319
SM3,2009,584
SP1,2003,90
SP1,2013,148
SP1,2009,130
SP1,2012,101
SP1,2007,169
SP1,2006,75
SP1,2005,97
SP1,2008,231
SP1,2011,185
SP1,2010,93
SP1,2004,232
SS2,2012,326
SS2,2012,326
SS2,2011,388
SS2,2011,388
SS2,2013,116
SS2,2013,116
SS2,2009,226
SS2,2009,226
SS2,2010,379
SS2,2010,379
SS3,2009,174
SS3,2009,174
SS3,2008,102
SS3,2008,102
SS3,2007,210
SS3,2007,210
SS3,2006,388
SS3,2006,388
SS3,2005,146
SS3,2005,146
SS3,2010,318
SS3,2010,318
SS3,2013,257
SS3,2013,257
SS3,2012,188
SS3,2012,188
SS3,2011,156
SS3,2011,156
T1,2012,339
T1,2011,241
T1,2010,195
T1,2009,142
T1,2003,112
T1,2013,179
T1,2008,109
T1,2004,77
T1,2005,58
T1,2007,142
T1,2001,108
T1,2006,157
T1,2002,69
T2,2011,267
T2,2010,334
T2,2013,530
T2,2012,659
T2,2009,225
T3,2010,248
T3,2012,300
T3,2011,412
T3,2008,551
T3,2013,272
T3,2009,292
T3,2007,340
X3,2012,185
X3,2011,290
X3,2013,326
X3,2009,132
X3,2008,284
X3,2007,160
X3,2010,340
X3,2006,297
