"# Fields represent last year of growth (1900) and increments from relative to trees cut at Wits Rural Facility in Acornhoek, South Africa. Trees were cut in Spring 2014.",,
ID,Year,Increment
AH1,1896,378
AH1,1895,80
AH1,1894,169
AH1,1893,116
SS2,1900,116
SS2,1899,326
SS2,1898,388
SS2,1897,379
SS2,1896,226
DM2,1900,129
DM2,1899,129
DM2,1898,159
DM2,1897,224
DM2,1896,89
DM2,1895,305
DM2,1894,366
DM2,1893,85
X3,1900,326
X3,1899,185
X3,1898,290
X3,1897,340
X3,1896,132
X3,1895,284
X3,1894,160
X3,1893,297
DM3,1900,172
DM3,1899,259
DM3,1898,220
DM3,1897,159
DM3,1896,150
DM3,1895,120
DM3,1894,64
DM3,1893,231
C3A,1900,89
C3A,1899,192
C3A,1898,199
C3A,1897,358
C3A,1896,102
C3A,1895,128
C3A,1894,181
C3A,1893,107
C3A,1892,110
C3A,1891,206
